lsoa21cd,lsoa21nm,ICB23NM,total_population,age_0_4,age_5_9,age_10_14,age_15_19,age_20_24,age_25_29,age_30_34,age_35_39,age_40_44,age_45_49,age_50_54,age_55_59,age_60_64,age_65_69,age_70_74,age_75_79,age_80_84,age_85_plus
E01020484,Dorset 042G,NHS Dorset Integrated Care Board,1520.82,46.05,73.9,79.25,92.11,66.4,48.2,73.9,79.25,67.47,89.96,114.6,119.95,132.8,111.38,119.95,84.61,66.4,54.62
E01020481,Dorset 042D,NHS Dorset Integrated Care Board,1418.0,41.77,34.27,42.84,33.2,55.69,50.34,55.69,48.2,54.62,61.05,72.83,124.24,169.22,140.3,170.29,111.38,64.26,87.82
E01020482,Dorset 042E,NHS Dorset Integrated Care Board,1668.62,73.9,81.4,78.18,50.34,70.69,81.4,109.24,86.75,94.25,94.25,97.46,136.02,158.51,109.24,139.23,99.6,52.48,55.69
E01020479,Dorset 042B,NHS Dorset Integrated Care Board,1211.3,35.34,34.27,34.27,49.27,35.34,38.56,38.56,29.99,31.06,53.55,53.55,81.4,82.47,111.38,112.46,126.38,99.6,163.86
E01020478,Dorset 042A,NHS Dorset Integrated Care Board,1188.81,39.63,47.12,54.62,62.12,50.34,34.27,42.84,52.48,59.98,58.9,86.75,110.31,97.46,94.25,99.6,87.82,51.41,58.9
E01020480,Dorset 042C,NHS Dorset Integrated Care Board,1817.49,38.56,58.9,53.55,54.62,52.48,54.62,48.2,50.34,57.83,78.18,87.82,132.8,202.42,181.0,209.92,199.21,113.53,143.51
E01015406,"Bournemouth, Christchurch and Poole 048E",NHS Dorset Integrated Care Board,1634.35,55.69,46.05,57.83,58.9,61.05,66.4,58.9,68.54,82.47,96.39,118.88,127.45,147.8,122.09,137.09,122.09,104.96,101.74
E01015459,"Bournemouth, Christchurch and Poole 047E",NHS Dorset Integrated Care Board,1910.66,54.62,94.25,117.81,83.54,48.2,28.92,50.34,78.18,102.82,126.38,144.58,143.51,179.93,155.29,164.93,125.31,88.89,123.16
E01015404,"Bournemouth, Christchurch and Poole 048C",NHS Dorset Integrated Care Board,1903.17,63.19,50.34,79.25,73.9,50.34,41.77,50.34,62.12,77.11,82.47,119.95,143.51,131.73,152.08,235.62,205.63,130.66,153.15
E01015455,"Bournemouth, Christchurch and Poole 047D",NHS Dorset Integrated Care Board,2048.82,71.76,121.02,118.88,96.39,42.84,57.83,68.54,97.46,125.31,124.24,152.08,153.15,144.58,127.45,177.79,138.16,113.53,117.81
E01015370,"Bournemouth, Christchurch and Poole 045D",NHS Dorset Integrated Care Board,1735.02,57.83,40.7,53.55,40.7,99.6,185.28,144.58,108.17,113.53,123.16,107.1,132.8,117.81,101.74,102.82,65.33,53.55,86.75
E01015405,"Bournemouth, Christchurch and Poole 048D",NHS Dorset Integrated Care Board,1800.35,53.55,65.33,73.9,62.12,46.05,39.63,44.98,70.69,76.04,108.17,141.37,142.44,144.58,160.65,204.56,129.59,113.53,123.16
E01015368,"Bournemouth, Christchurch and Poole 045B",NHS Dorset Integrated Care Board,1863.54,43.91,40.7,42.84,37.48,70.69,155.29,118.88,97.46,117.81,99.6,95.32,118.88,113.53,142.44,176.72,147.8,101.74,142.44
E01015367,"Bournemouth, Christchurch and Poole 045A",NHS Dorset Integrated Care Board,2628.23,106.03,85.68,69.61,67.47,263.47,351.29,350.22,294.52,188.5,157.44,170.29,137.09,108.17,85.68,96.39,47.12,24.63,24.63
