lsoa21cd,lsoa21nm,ICB23NM,total_population,age_0_4,age_5_9,age_10_14,age_15_19,age_20_24,age_25_29,age_30_34,age_35_39,age_40_44,age_45_49,age_50_54,age_55_59,age_60_64,age_65_69,age_70_74,age_75_79,age_80_84,age_85_plus
E01020484,Dorset 042G,NHS Dorset Integrated Care Board,1444.99,43.76,70.21,75.3,87.51,63.09,45.79,70.21,75.3,64.11,85.48,108.88,113.97,126.18,105.83,113.97,80.39,63.09,51.9
E01020481,Dorset 042D,NHS Dorset Integrated Care Board,1347.3,39.69,32.56,40.7,31.55,52.92,47.83,52.92,45.79,51.9,58.0,69.2,118.04,160.78,133.31,161.8,105.83,61.06,83.44
E01020482,Dorset 042E,NHS Dorset Integrated Care Board,1585.42,70.21,77.34,74.28,47.83,67.16,77.34,103.8,82.43,89.55,89.55,92.6,129.24,150.6,103.8,132.29,94.64,49.86,52.92
E01020479,Dorset 042B,NHS Dorset Integrated Care Board,1150.91,33.58,32.56,32.56,46.81,33.58,36.63,36.63,28.49,29.51,50.88,50.88,77.34,78.36,105.83,106.85,120.08,94.64,155.69
E01020478,Dorset 042A,NHS Dorset Integrated Care Board,1129.54,37.65,44.77,51.9,59.02,47.83,32.56,40.7,49.86,56.99,55.97,82.43,104.81,92.6,89.55,94.64,83.44,48.84,55.97
E01020480,Dorset 042C,NHS Dorset Integrated Care Board,1726.87,36.63,55.97,50.88,51.9,49.86,51.9,45.79,47.83,54.95,74.28,83.44,126.18,192.33,171.97,199.45,189.27,107.87,136.36
E01015406,"Bournemouth, Christchurch and Poole 048E",NHS Dorset Integrated Care Board,1552.86,52.92,43.76,54.95,55.97,58.0,63.09,55.97,65.13,78.36,91.58,112.95,121.09,140.43,116.01,130.25,116.01,99.72,96.67
E01015459,"Bournemouth, Christchurch and Poole 047E",NHS Dorset Integrated Care Board,1815.4,51.9,89.55,111.94,79.37,45.79,27.48,47.83,74.28,97.69,120.08,137.38,136.36,170.96,147.55,156.71,119.06,84.46,117.02
E01015404,"Bournemouth, Christchurch and Poole 048C",NHS Dorset Integrated Care Board,1808.28,60.04,47.83,75.3,70.21,47.83,39.69,47.83,59.02,73.27,78.36,113.97,136.36,125.16,144.5,223.87,195.38,124.15,145.52
E01015455,"Bournemouth, Christchurch and Poole 047D",NHS Dorset Integrated Care Board,1946.67,68.18,114.99,112.95,91.58,40.7,54.95,65.13,92.6,119.06,118.04,144.5,145.52,137.38,121.09,168.92,131.27,107.87,111.94
E01015370,"Bournemouth, Christchurch and Poole 045D",NHS Dorset Integrated Care Board,1648.51,54.95,38.67,50.88,38.67,94.64,176.04,137.38,102.78,107.87,117.02,101.76,126.18,111.94,96.67,97.69,62.07,50.88,82.43
E01015405,"Bournemouth, Christchurch and Poole 048D",NHS Dorset Integrated Care Board,1710.59,50.88,62.07,70.21,59.02,43.76,37.65,42.74,67.16,72.25,102.78,134.32,135.34,137.38,152.64,194.36,123.13,107.87,117.02
E01015368,"Bournemouth, Christchurch and Poole 045B",NHS Dorset Integrated Care Board,1770.62,41.72,38.67,40.7,35.62,67.16,147.55,112.95,92.6,111.94,94.64,90.57,112.95,107.87,135.34,167.9,140.43,96.67,135.34
E01015367,"Bournemouth, Christchurch and Poole 045A",NHS Dorset Integrated Care Board,2497.19,100.74,81.41,66.14,64.11,250.33,333.77,332.76,279.84,179.1,149.59,161.8,130.25,102.78,81.41,91.58,44.77,23.4,23.4
E01015369,"Bournemouth, Christchurch and Poole 045C",NHS Dorset Integrated Care Board,1671.92,59.02,37.65,33.58,20.35,66.14,151.62,125.16,130.25,122.11,92.6,94.64,102.78,99.72,96.67,129.24,116.01,91.58,102.78
E01015403,"Bournemouth, Christchurch and Poole 048B",NHS Dorset Integrated Care Board,1751.29,40.7,13.23,14.25,14.25,52.92,67.16,70.21,66.14,44.77,60.04,73.27,84.46,104.81,129.24,217.77,246.26,184.19,267.63
E01034274,"Bournemouth, Christchurch and Poole 038H",NHS Dorset Integrated Care Board,1603.74,45.79,32.56,25.44,59.02,326.65,297.14,236.08,139.41,87.51,59.02,78.36,48.84,41.72,50.88,25.44,20.35,11.19,18.32
E01034278,"Bournemouth, Christchurch and Poole 041F",NHS Dorset Integrated Care Board,2045.38,49.86,37.65,28.49,388.72,557.64,196.4,176.04,112.95,88.53,61.06,59.02,56.99,46.81,43.76,60.04,31.55,16.28,33.58
E01015291,"Bournemouth, Christchurch and Poole 041D",NHS Dorset Integrated Care Board,1925.3,63.09,47.83,36.63,46.81,108.88,141.45,153.66,143.48,132.29,74.28,82.43,110.92,123.13,127.2,135.34,140.43,119.06,138.39
E01015371,"Bournemouth, Christchurch and Poole 040A",NHS Dorset Integrated Care Board,1396.15,64.11,42.74,24.42,31.55,101.76,145.52,153.66,121.09,137.38,89.55,106.85,89.55,99.72,60.04,39.69,38.67,27.48,22.39
E01015458,"Bournemouth, Christchurch and Poole 043A",NHS Dorset Integrated Care Board,1579.32,52.92,63.09,120.08,92.6,42.74,27.48,43.76,62.07,104.81,125.16,121.09,120.08,106.85,107.87,129.24,117.02,69.2,73.27
E01015452,"Bournemouth, Christchurch and Poole 047A",NHS Dorset Integrated Care Board,2131.87,91.58,129.24,122.11,96.67,72.25,91.58,99.72,113.97,138.39,143.48,163.83,142.46,140.43,108.88,123.13,126.18,97.69,130.25
E01015464,"Bournemouth, Christchurch and Poole 043F",NHS Dorset Integrated Care Board,1663.78,71.23,88.53,82.43,82.43,48.84,54.95,52.92,77.34,104.81,131.27,162.82,154.68,124.15,113.97,118.04,90.57,61.06,43.76
E01015402,"Bournemouth, Christchurch and Poole 048A",NHS Dorset Integrated Care Board,1866.28,55.97,62.07,65.13,75.3,79.37,95.65,95.65,93.62,89.55,104.81,132.29,134.32,114.99,123.13,147.55,110.92,69.2,216.75
E01034281,"Bournemouth, Christchurch and Poole 044G",NHS Dorset Integrated Care Board,1188.56,47.83,31.55,19.33,26.46,61.06,89.55,102.78,64.11,43.76,41.72,44.77,50.88,39.69,70.21,95.65,91.58,101.76,165.87
E01015463,"Bournemouth, Christchurch and Poole 043E",NHS Dorset Integrated Care Board,1683.11,50.88,111.94,91.58,61.06,52.92,99.72,72.25,111.94,118.04,129.24,147.55,142.46,116.01,106.85,112.95,66.14,46.81,44.77
E01015453,"Bournemouth, Christchurch and Poole 047B",NHS Dorset Integrated Care Board,1964.99,108.88,95.65,88.53,61.06,79.37,130.25,161.8,148.57,154.68,118.04,142.46,143.48,100.74,103.8,117.02,88.53,60.04,62.07
E01015466,"Bournemouth, Christchurch and Poole 044B",NHS Dorset Integrated Care Board,1810.31,72.25,80.39,86.5,80.39,88.53,107.87,130.25,90.57,128.22,105.83,120.08,133.31,114.99,92.6,112.95,89.55,85.48,90.57
E01015462,"Bournemouth, Christchurch and Poole 043D",NHS Dorset Integrated Care Board,1719.74,88.53,102.78,122.11,116.01,89.55,93.62,119.06,129.24,134.32,145.52,149.59,142.46,82.43,73.27,59.02,36.63,15.26,20.35
E01015454,"Bournemouth, Christchurch and Poole 047C",NHS Dorset Integrated Care Board,2115.59,128.22,127.2,98.71,74.28,118.04,149.59,193.34,185.2,156.71,126.18,124.15,151.62,93.62,81.41,83.44,83.44,54.95,85.48
