lsoa21cd,lsoa21nm,ICB23NM,total_population,age_0_4,age_5_9,age_10_14,age_15_19,age_20_24,age_25_29,age_30_34,age_35_39,age_40_44,age_45_49,age_50_54,age_55_59,age_60_64,age_65_69,age_70_74,age_75_79,age_80_84,age_85_plus
E01020484,Dorset 042G,NHS Dorset Integrated Care Board,1449.68,43.9,70.44,75.55,87.8,63.3,45.94,70.44,75.55,64.32,85.76,109.24,114.34,126.59,106.17,114.34,80.65,63.3,52.07
E01020481,Dorset 042D,NHS Dorset Integrated Care Board,1351.67,39.82,32.67,40.84,31.65,53.09,47.98,53.09,45.94,52.07,58.19,69.42,118.42,161.3,133.74,162.32,106.17,61.25,83.71
E01020482,Dorset 042E,NHS Dorset Integrated Care Board,1590.56,70.44,77.59,74.53,47.98,67.38,77.59,104.13,82.69,89.84,89.84,92.9,129.65,151.09,104.13,132.72,94.94,50.02,53.09
E01020479,Dorset 042B,NHS Dorset Integrated Care Board,1154.64,33.69,32.67,32.67,46.96,33.69,36.75,36.75,28.59,29.61,51.04,51.04,77.59,78.61,106.17,107.19,120.47,94.94,156.2
E01020478,Dorset 042A,NHS Dorset Integrated Care Board,1133.2,37.77,44.92,52.07,59.21,47.98,32.67,40.84,50.02,57.17,56.15,82.69,105.15,92.9,89.84,94.94,83.71,49.0,56.15
E01020480,Dorset 042C,NHS Dorset Integrated Care Board,1732.47,36.75,56.15,51.04,52.07,50.02,52.07,45.94,47.98,55.13,74.53,83.71,126.59,192.95,172.53,200.1,189.89,108.22,136.8
E01015406,"Bournemouth, Christchurch and Poole 048E",NHS Dorset Integrated Care Board,1557.89,53.09,43.9,55.13,56.15,58.19,63.3,56.15,65.34,78.61,91.88,113.32,121.49,140.88,116.38,130.68,116.38,100.05,96.99
E01015459,"Bournemouth, Christchurch and Poole 047E",NHS Dorset Integrated Care Board,1821.29,52.07,89.84,112.3,79.63,45.94,27.56,47.98,74.53,98.01,120.47,137.82,136.8,171.51,148.03,157.22,119.45,84.73,117.4
E01015404,"Bournemouth, Christchurch and Poole 048C",NHS Dorset Integrated Care Board,1814.14,60.23,47.98,75.55,70.44,47.98,39.82,47.98,59.21,73.5,78.61,114.34,136.8,125.57,144.97,224.6,196.01,124.55,145.99
E01015455,"Bournemouth, Christchurch and Poole 047D",NHS Dorset Integrated Care Board,1952.98,68.4,115.36,113.32,91.88,40.84,55.13,65.34,92.9,119.45,118.42,144.97,145.99,137.82,121.49,169.47,131.7,108.22,112.3
