lsoa21cd,lsoa21nm,ICB23NM,total_population,age_0_4,age_5_9,age_10_14,age_15_19,age_20_24,age_25_29,age_30_34,age_35_39,age_40_44,age_45_49,age_50_54,age_55_59,age_60_64,age_65_69,age_70_74,age_75_79,age_80_84,age_85_plus
E01020484,Dorset 042G,NHS Dorset Integrated Care Board,1571.94,47.6,76.38,81.92,95.2,68.63,49.82,76.38,81.92,69.74,92.99,118.45,123.98,137.27,115.13,123.98,87.45,68.63,56.46
E01020481,Dorset 042D,NHS Dorset Integrated Care Board,1465.67,43.17,35.42,44.28,34.32,57.56,52.03,57.56,49.82,56.46,63.1,75.28,128.41,174.91,145.02,176.01,115.13,66.42,90.77
E01020482,Dorset 042E,NHS Dorset Integrated Care Board,1724.71,76.38,84.13,80.81,52.03,73.06,84.13,112.91,89.67,97.42,97.42,100.74,140.59,163.84,112.91,143.91,102.95,54.24,57.56
E01020479,Dorset 042B,NHS Dorset Integrated Care Board,1252.02,36.53,35.42,35.42,50.92,36.53,39.85,39.85,31.0,32.1,55.35,55.35,84.13,85.24,115.13,116.24,130.63,102.95,169.37
E01020478,Dorset 042A,NHS Dorset Integrated Care Board,1228.77,40.96,48.71,56.46,64.21,52.03,35.42,44.28,54.24,61.99,60.88,89.67,114.02,100.74,97.42,102.95,90.77,53.14,60.88
E01020480,Dorset 042C,NHS Dorset Integrated Care Board,1878.58,39.85,60.88,55.35,56.46,54.24,56.46,49.82,52.03,59.78,80.81,90.77,137.27,209.22,187.08,216.97,205.9,117.34,148.34
E01015406,"Bournemouth, Christchurch and Poole 048E",NHS Dorset Integrated Care Board,1689.28,57.56,47.6,59.78,60.88,63.1,68.63,60.88,70.85,85.24,99.63,122.88,131.73,152.77,126.2,141.7,126.2,108.49,105.16
E01015459,"Bournemouth, Christchurch and Poole 047E",NHS Dorset Integrated Care Board,1974.89,56.46,97.42,121.77,86.35,49.82,29.89,52.03,80.81,106.27,130.63,149.44,148.34,185.98,160.51,170.48,129.52,91.88,127.3
E01015404,"Bournemouth, Christchurch and Poole 048C",NHS Dorset Integrated Care Board,1967.14,65.31,52.03,81.92,76.38,52.03,43.17,52.03,64.21,79.7,85.24,123.98,148.34,136.16,157.19,243.54,212.54,135.05,158.3
E01015455,"Bournemouth, Christchurch and Poole 047D",NHS Dorset Integrated Care Board,2117.69,74.17,125.09,122.88,99.63,44.28,59.78,70.85,100.74,129.52,128.41,157.19,158.3,149.44,131.73,183.76,142.8,117.34,121.77
