lsoa21cd,lsoa21nm,ICB23NM,total_population,age_0_4,age_5_9,age_10_14,age_15_19,age_20_24,age_25_29,age_30_34,age_35_39,age_40_44,age_45_49,age_50_54,age_55_59,age_60_64,age_65_69,age_70_74,age_75_79,age_80_84,age_85_plus
E01020484,Dorset 042G,NHS Dorset Integrated Care Board,1435.48,43.47,69.75,74.81,86.94,62.68,45.49,69.75,74.81,63.69,84.92,108.17,113.22,125.35,105.13,113.22,79.86,62.68,51.56
E01020481,Dorset 042D,NHS Dorset Integrated Care Board,1338.43,39.43,32.35,40.44,31.34,52.57,47.51,52.57,45.49,51.56,57.62,68.74,117.26,159.72,132.43,160.73,105.13,60.65,82.89
E01020482,Dorset 042E,NHS Dorset Integrated Care Board,1574.98,69.75,76.83,73.8,47.51,66.72,76.83,103.11,81.88,88.96,88.96,91.99,128.38,149.61,103.11,131.42,94.01,49.53,52.57
E01020479,Dorset 042B,NHS Dorset Integrated Care Board,1143.33,33.36,32.35,32.35,46.5,33.36,36.39,36.39,28.31,29.32,50.54,50.54,76.83,77.84,105.13,106.14,119.29,94.01,154.67
E01020478,Dorset 042A,NHS Dorset Integrated Care Board,1122.1,37.4,44.48,51.56,58.63,47.51,32.35,40.44,49.53,56.61,55.6,81.88,104.12,91.99,88.96,94.01,82.89,48.52,55.6
E01020480,Dorset 042C,NHS Dorset Integrated Care Board,1715.5,36.39,55.6,50.54,51.56,49.53,51.56,45.49,47.51,54.59,73.8,82.89,125.35,191.06,170.84,198.14,188.03,107.16,135.46
E01015406,"Bournemouth, Christchurch and Poole 048E",NHS Dorset Integrated Care Board,1542.63,52.57,43.47,54.59,55.6,57.62,62.68,55.6,64.7,77.84,90.98,112.21,120.3,139.5,115.24,129.4,115.24,99.07,96.04
E01015459,"Bournemouth, Christchurch and Poole 047E",NHS Dorset Integrated Care Board,1803.45,51.56,88.96,111.2,78.85,45.49,27.29,47.51,73.8,97.05,119.29,136.47,135.46,169.83,146.58,155.68,118.28,83.9,116.25
E01015404,"Bournemouth, Christchurch and Poole 048C",NHS Dorset Integrated Care Board,1796.37,59.64,47.51,74.81,69.75,47.51,39.43,47.51,58.63,72.78,77.84,113.22,135.46,124.34,143.55,222.4,194.09,123.33,144.56
E01015455,"Bournemouth, Christchurch and Poole 047D",NHS Dorset Integrated Care Board,1933.85,67.73,114.23,112.21,90.98,40.44,54.59,64.7,91.99,118.28,117.26,143.55,144.56,136.47,120.3,167.81,130.41,107.16,111.2
E01015370,"Bournemouth, Christchurch and Poole 045D",NHS Dorset Integrated Care Board,1637.66,54.59,38.41,50.54,38.41,94.01,174.89,136.47,102.1,107.16,116.25,101.09,125.35,111.2,96.04,97.05,61.66,50.54,81.88
E01015405,"Bournemouth, Christchurch and Poole 048D",NHS Dorset Integrated Care Board,1699.32,50.54,61.66,69.75,58.63,43.47,37.4,42.46,66.72,71.77,102.1,133.44,134.45,136.47,151.64,193.08,122.32,107.16,116.25
E01015368,"Bournemouth, Christchurch and Poole 045B",NHS Dorset Integrated Care Board,1758.97,41.45,38.41,40.44,35.38,66.72,146.58,112.21,91.99,111.2,94.01,89.97,112.21,107.16,134.45,166.8,139.5,96.04,134.45
E01015367,"Bournemouth, Christchurch and Poole 045A",NHS Dorset Integrated Care Board,2480.75,100.08,80.87,65.71,63.69,248.68,331.58,330.56,278.0,177.92,148.6,160.73,129.4,102.1,80.87,90.98,44.48,23.25,23.25
E01015369,"Bournemouth, Christchurch and Poole 045C",NHS Dorset Integrated Care Board,1660.91,58.63,37.4,33.36,20.22,65.71,150.62,124.34,129.4,121.31,91.99,94.01,102.1,99.07,96.04,128.38,115.24,90.98,102.1
E01015403,"Bournemouth, Christchurch and Poole 048B",NHS Dorset Integrated Care Board,1739.76,40.44,13.14,14.15,14.15,52.57,66.72,69.75,65.71,44.48,59.64,72.78,83.9,104.12,128.38,216.33,244.64,182.97,265.87
