lsoa21cd,lsoa21nm,ICB23NM,total_population,age_0_4,age_5_9,age_10_14,age_15_19,age_20_24,age_25_29,age_30_34,age_35_39,age_40_44,age_45_49,age_50_54,age_55_59,age_60_64,age_65_69,age_70_74,age_75_79,age_80_84,age_85_plus
E01020484,Dorset 042G,NHS Dorset Integrated Care Board,1423.83,43.12,69.19,74.2,86.23,62.17,45.12,69.19,74.2,63.17,84.23,107.29,112.3,124.33,104.28,112.3,79.21,62.17,51.14
E01020481,Dorset 042D,NHS Dorset Integrated Care Board,1327.57,39.11,32.09,40.11,31.08,52.14,47.13,52.14,45.12,51.14,57.15,68.18,116.31,158.43,131.35,159.43,104.28,60.16,82.22
E01020482,Dorset 042E,NHS Dorset Integrated Care Board,1562.21,69.19,76.21,73.2,47.13,66.18,76.21,102.28,81.22,88.24,88.24,91.25,127.34,148.4,102.28,130.35,93.25,49.13,52.14
E01020479,Dorset 042B,NHS Dorset Integrated Care Board,1134.05,33.09,32.09,32.09,46.12,33.09,36.1,36.1,28.08,29.08,50.14,50.14,76.21,77.21,104.28,105.28,118.32,93.25,153.41
E01020478,Dorset 042A,NHS Dorset Integrated Care Board,1113.0,37.1,44.12,51.14,58.16,47.13,32.09,40.11,49.13,56.15,55.15,81.22,103.28,91.25,88.24,93.25,82.22,48.13,55.15
E01020480,Dorset 042C,NHS Dorset Integrated Care Board,1701.58,36.1,55.15,50.14,51.14,49.13,51.14,45.12,47.13,54.15,73.2,82.22,124.33,189.51,169.46,196.53,186.5,106.29,134.36
E01015406,"Bournemouth, Christchurch and Poole 048E",NHS Dorset Integrated Care Board,1530.12,52.14,43.12,54.15,55.15,57.15,62.17,55.15,64.17,77.21,90.24,111.3,119.32,138.37,114.31,128.35,114.31,98.26,95.26
E01015459,"Bournemouth, Christchurch and Poole 047E",NHS Dorset Integrated Care Board,1788.82,51.14,88.24,110.3,78.21,45.12,27.07,47.13,73.2,96.26,118.32,135.36,134.36,168.45,145.39,154.42,117.32,83.22,115.31
E01015404,"Bournemouth, Christchurch and Poole 048C",NHS Dorset Integrated Care Board,1781.8,59.16,47.13,74.2,69.19,47.13,39.11,47.13,58.16,72.19,77.21,112.3,134.36,123.33,142.38,220.59,192.52,122.33,143.39
E01015455,"Bournemouth, Christchurch and Poole 047D",NHS Dorset Integrated Care Board,1918.17,67.18,113.31,111.3,90.24,40.11,54.15,64.17,91.25,117.32,116.31,142.38,143.39,135.36,119.32,166.45,129.35,106.29,110.3
E01015370,"Bournemouth, Christchurch and Poole 045D",NHS Dorset Integrated Care Board,1624.37,54.15,38.1,50.14,38.1,93.25,173.47,135.36,101.27,106.29,115.31,100.27,124.33,110.3,95.26,96.26,61.16,50.14,81.22
E01015405,"Bournemouth, Christchurch and Poole 048D",NHS Dorset Integrated Care Board,1685.54,50.14,61.16,69.19,58.16,43.12,37.1,42.11,66.18,71.19,101.27,132.36,133.36,135.36,150.4,191.52,121.33,106.29,115.31
E01015368,"Bournemouth, Christchurch and Poole 045B",NHS Dorset Integrated Care Board,1744.7,41.11,38.1,40.11,35.09,66.18,145.39,111.3,91.25,110.3,93.25,89.24,111.3,106.29,133.36,165.45,138.37,95.26,133.36
E01015367,"Bournemouth, Christchurch and Poole 045A",NHS Dorset Integrated Care Board,2460.63,99.27,80.22,65.18,63.17,246.66,328.89,327.88,275.74,176.48,147.4,159.43,128.35,101.27,80.22,90.24,44.12,23.06,23.06
E01015369,"Bournemouth, Christchurch and Poole 045C",NHS Dorset Integrated Care Board,1647.44,58.16,37.1,33.09,20.05,65.18,149.4,123.33,128.35,120.32,91.25,93.25,101.27,98.26,95.26,127.34,114.31,90.24,101.27
E01015403,"Bournemouth, Christchurch and Poole 048B",NHS Dorset Integrated Care Board,1725.65,40.11,13.04,14.04,14.04,52.14,66.18,69.19,65.18,44.12,59.16,72.19,83.22,103.28,127.34,214.58,242.65,181.49,263.71
E01034274,"Bournemouth, Christchurch and Poole 038H",NHS Dorset Integrated Care Board,1580.26,45.12,32.09,25.07,58.16,321.87,292.79,232.63,137.37,86.23,58.16,77.21,48.13,41.11,50.14,25.07,20.05,11.03,18.05
E01034278,"Bournemouth, Christchurch and Poole 041F",NHS Dorset Integrated Care Board,2015.43,49.13,37.1,28.08,383.03,549.48,193.52,173.47,111.3,87.23,60.16,58.16,56.15,46.12,43.12,59.16,31.08,16.04,33.09
E01015291,"Bournemouth, Christchurch and Poole 041D",NHS Dorset Integrated Care Board,1897.11,62.17,47.13,36.1,46.12,107.29,139.38,151.41,141.38,130.35,73.2,81.22,109.29,121.33,125.34,133.36,138.37,117.32,136.37
E01015371,"Bournemouth, Christchurch and Poole 040A",NHS Dorset Integrated Care Board,1375.7,63.17,42.11,24.06,31.08,100.27,143.39,151.41,119.32,135.36,88.24,105.28,88.24,98.26,59.16,39.11,38.1,27.07,22.06
E01015458,"Bournemouth, Christchurch and Poole 043A",NHS Dorset Integrated Care Board,1556.19,52.14,62.17,118.32,91.25,42.11,27.07,43.12,61.16,103.28,123.33,119.32,118.32,105.28,106.29,127.34,115.31,68.18,72.19
E01015452,"Bournemouth, Christchurch and Poole 047A",NHS Dorset Integrated Care Board,2100.66,90.24,127.34,120.32,95.26,71.19,90.24,98.26,112.3,136.37,141.38,161.43,140.38,138.37,107.29,121.33,124.33,96.26,128.35
E01015464,"Bournemouth, Christchurch and Poole 043F",NHS Dorset Integrated Care Board,1639.41,70.19,87.23,81.22,81.22,48.13,54.15,52.14,76.21,103.28,129.35,160.43,152.41,122.33,112.3,116.31,89.24,60.16,43.12
E01015402,"Bournemouth, Christchurch and Poole 048A",NHS Dorset Integrated Care Board,1838.95,55.15,61.16,64.17,74.2,78.21,94.25,94.25,92.25,88.24,103.28,130.35,132.36,113.31,121.33,145.39,109.29,68.18,213.58
